"CPI All Groups for New Zealand, Seasonally adjusted (Qrtly-Mar/Jun/Sep/Dec)",""
"","Seasonally adjusted"
" ","All groups"
"1925Q3",25.73
"1925Q4",25.77
"1926Q1",25.65
"1926Q2",25.70
"1926Q3",25.77
"1926Q4",25.60
"1927Q1",25.63
"1927Q2",25.49
"1927Q3",25.40
"1927Q4",25.36
"1928Q1",25.44
"1928Q2",25.56
"1928Q3",25.46
"1928Q4",25.51
"1929Q1",25.45
"1929Q2",25.37
"1929Q3",25.47
"1929Q4",25.38
"1930Q1",25.29
"1930Q2",25.11
"1930Q3",24.90
"1930Q4",24.37
"1931Q1",23.66
"1931Q2",23.15
"1931Q3",22.64
"1931Q4",22.49
"1932Q1",22.20
"1932Q2",21.26
"1932Q3",20.87
"1932Q4",20.42
"1933Q1",20.22
"1933Q2",20.15
"1933Q3",20.23
"1933Q4",20.29
"1934Q1",20.40
"1934Q2",20.55
"1934Q3",20.51
"1934Q4",20.54
"1935Q1",20.98
"1935Q2",21.13
"1935Q3",21.28
"1935Q4",21.67
"1936Q1",21.35
"1936Q2",21.67
"1936Q3",22.10
"1936Q4",22.35
"1937Q1",22.84
"1937Q2",23.28
"1937Q3",23.55
"1937Q4",23.94
"1938Q1",24.00
"1938Q2",24.11
"1938Q3",24.19
"1938Q4",24.04
"1939Q1",24.69
"1939Q2",24.94
"1939Q3",25.27
"1939Q4",25.85
"1940Q1",25.82
"1940Q2",26.13
"1940Q3",26.46
"1940Q4",26.52
"1941Q1",26.94
"1941Q2",27.18
"1941Q3",27.23
"1941Q4",27.51
"1942Q1",27.55
"1942Q2",27.91
"1942Q3",28.36
"1942Q4",28.58
"1943Q1",28.65
"1943Q2",28.67
"1943Q3",28.85
"1943Q4",29.00
"1944Q1",29.13
"1944Q2",29.27
"1944Q3",29.33
"1944Q4",29.44
"1945Q1",29.62
"1945Q2",29.67
"1945Q3",29.64
"1945Q4",29.85
"1946Q1",29.88
"1946Q2",29.98
"1946Q3",30.01
"1946Q4",29.82
"1947Q1",29.98
"1947Q2",30.22
"1947Q3",30.51
"1947Q4",32.89
"1948Q1",33.03
"1948Q2",33.40
"1948Q3",33.39
"1948Q4",33.45
"1949Q1",33.74
"1949Q2",33.74
"1949Q3",33.92
"1949Q4",34.09
"1950Q1",34.43
"1950Q2",35.37
"1950Q3",36.37
"1950Q4",37.03
"1951Q1",37.84
"1951Q2",39.26
"1951Q3",40.40
"1951Q4",41.50
"1952Q1",42.27
"1952Q2",42.61
"1952Q3",43.02
"1952Q4",43.45
"1953Q1",44.06
"1953Q2",44.33
"1953Q3",44.81
